id,highway,cycleway,name,surface,geometry
way/4395537,tertiary,separate,Detmolder Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3244651, 52.4787315], [13.3260158, 52.4787202], [13.3273188, 52.4787122], [13.3273683, 52.4787119]]}"
way/4395587,residential,track,Motzstraße,sett,"{""type"": ""LineString"", ""coordinates"": [[13.3335153, 52.4932186], [13.3335537, 52.4932748], [13.3335985, 52.4933033], [13.3336111, 52.4933113], [13.3336452, 52.4933311], [13.3338205, 52.4933834]]}"
way/4396012,residential,opposite,Suarezstraße,sett,"{""type"": ""LineString"", ""coordinates"": [[13.2937953, 52.5053518], [13.2937122, 52.5052725], [13.2936822, 52.5052512]]}"
way/4396109,primary,separate,Leipziger Platz,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3779568, 52.5096068], [13.3782529, 52.5096252], [13.3784781, 52.5096385], [13.3789232, 52.5096668]]}"
way/4396234,residential,opposite,Bamberger Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3371745, 52.4940536], [13.337175, 52.4939688], [13.3371776, 52.4935576], [13.3371631, 52.493446], [13.3370438, 52.4925284], [13.3370093, 52.4922634], [13.3370026, 52.492212]]}"
way/4396420,residential,track,Droysenstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3007411, 52.5032009], [13.3007458, 52.5031234], [13.3007395, 52.5030703], [13.3006789, 52.5025763], [13.3006221, 52.5020989], [13.3006128, 52.5020239], [13.3006035, 52.5019491], [13.3005971, 52.5018836], [13.3005886, 52.5017965], [13.3005069, 52.5012029], [13.300422, 52.5005863], [13.3003959, 52.5004024], [13.3003979, 52.5003801], [13.3003777, 52.5002641]]}"
way/4396636,secondary,track,Hubertusallee,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2848636, 52.4914053], [13.2848649, 52.4914195], [13.2848742, 52.4914951], [13.2848876, 52.4916264], [13.2848945, 52.4916877]]}"
way/4402087,secondary,separate,Brunnenstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3968769, 52.5371527], [13.3965377, 52.5375956]]}"
way/4403708,secondary,track,Koenigsallee,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.280634, 52.4922255], [13.2804227, 52.4920384], [13.2803334, 52.4919591], [13.2801905, 52.4918358], [13.2788589, 52.4906465], [13.2787281, 52.4905596], [13.2785654, 52.4905002], [13.2784929, 52.4904774], [13.2783959, 52.490459], [13.2782044, 52.4904392], [13.2780274, 52.4904472], [13.2770082, 52.4905795], [13.2769847, 52.4905817], [13.2768827, 52.4905914], [13.2767557, 52.4905946], [13.2766538, 52.4905874], [13.2765548, 52.4905749], [13.2764526, 52.4905552], [13.2763597, 52.490529], [13.2762357, 52.4904843], [13.276099, 52.4904078], [13.2760298, 52.4903537], [13.2759685, 52.4902939], [13.275931, 52.4902466], [13.2755667, 52.4897728], [13.2755612, 52.4897653]]}"
way/4403876,secondary,separate,Osnabrücker Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2996063, 52.5262101], [13.3000619, 52.5261398], [13.3001406, 52.5261274], [13.30024, 52.5261054]]}"
way/4410412,secondary,lane,Sickingenstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3145861, 52.5303803], [13.3149165, 52.5304414], [13.3151942, 52.5304932], [13.3154273, 52.5305365], [13.316706, 52.5307717], [13.3169141, 52.5308127], [13.3175319, 52.5309275]]}"
way/4434003,residential,opposite,Egelingzeile,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.370015, 52.4635904], [13.3698884, 52.4636023], [13.3696702, 52.4636247], [13.3678173, 52.4637967], [13.3669834, 52.4638743], [13.3668769, 52.4638842]]}"
way/4436795,residential,opposite_track,Sächsische Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3168238, 52.4913434], [13.3168591, 52.4914531], [13.3168657, 52.4914734], [13.3169233, 52.4916723], [13.3171978, 52.4926202]]}"
way/4437117,residential,opposite,Bayerische Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.314576, 52.499042], [13.3145409, 52.4989541], [13.3137038, 52.496864], [13.3136722, 52.4967852]]}"
